==============================================================
  NetSupport RAT Infrastructure Hunter — 2026-03-20
==============================================================

📊 GESAMT AKTIVE HOSTS: 1975

🔴 NEU HEUTE (155)
   45.150.34.21       AS215826   Partner Hosting LTD          (seit 2026-03-13)
   185.107.74.72      AS215826   Partner Hosting LTD          (seit 2026-03-13)
   83.217.208.131     AS215826   Partner Hosting LTD          (seit 2026-03-14)
   5.252.153.61       AS215826   Partner Hosting LTD          (seit 2026-03-14)
   185.107.74.108     AS215826   Partner Hosting LTD          (seit 2026-03-14)
   178.236.252.46     AS215826   Partner Hosting LTD          (seit 2026-03-14)
   147.45.45.141      AS215826   Partner Hosting LTD          (seit 2026-03-14)
   83.217.209.115     AS215826   Partner Hosting LTD          (seit 2026-03-14)
   193.233.112.50     AS215826   Partner Hosting LTD          (seit 2026-03-14)
   83.217.209.164     AS215826   Partner Hosting LTD          (seit 2026-03-14)
   195.10.205.249     AS215826   Partner Hosting LTD          (seit 2026-03-14)
   178.236.252.198    AS215826   Partner Hosting LTD          (seit 2026-03-14)
   193.233.113.245    AS215826   Partner Hosting LTD          (seit 2026-03-14)
   5.101.85.40        AS34665    Petersburg Internet Network ltd. (seit 2026-03-14)
   95.164.53.72       AS213702   QWINS LTD                    (seit 2026-03-10)
   45.94.47.108       AS57043    RapidSeedbox Ltd             (seit 2026-03-10)
   185.126.67.32      AS29066    RapidSeedbox Ltd             (seit 2026-03-13)
   45.158.127.100     AS199058   SERVA ONE LTD                (seit 2026-03-10)
   94.131.101.138     AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-03-10)
   94.131.101.94      AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-03-10)
   50.114.179.27      AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-03-10)
   45.39.210.14       AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-03-10)
   50.114.179.209     AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-03-10)
   50.114.179.26      AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-03-10)
   45.39.210.187      AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-03-10)
   45.87.154.190      AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-03-10)
   45.39.79.19        AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-03-10)
   185.242.87.135     AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-03-11)
   74.119.193.230     AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-03-13)
   193.57.137.101     AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-03-13)
   45.12.134.63       AS44477    STARK INDUSTRIES SOLUTIONS LTD. (seit 2026-03-10)
   146.19.106.147     AS53363    STARK INDUSTRIES SOLUTIONS LTD. (seit 2026-03-10)
   91.132.135.7       AS44477    STARK INDUSTRIES SOLUTIONS LTD. (seit 2026-03-10)
   94.131.9.20        AS44477    STARK INDUSTRIES SOLUTIONS LTD. (seit 2026-03-14)
   193.23.219.97      AS213520   Senko Digital Ltd            (seit 2026-03-10)
   212.80.217.135     AS51247    Serverio technologijos MB    (seit 2026-03-10)
   195.137.244.193    AS214379   South Park Networks LLC      (seit 2026-03-10)
   80.71.232.64       AS198037   SpaceCore.pro Hosting        (seit 2026-03-10)
   185.17.123.100     AS28753    TK Rustelekom LLC            (seit 2026-03-10)
   178.237.199.45     AS215438   Telediscount AO              (seit 2026-03-14)
   81.90.28.170       AS48407    TigrisNet                    (seit 2026-03-14)
   178.17.53.49       AS4766     TigrisNet                    (seit 2026-03-14)
   45.67.230.179      AS33993    UFO Hosting LLC              (seit 2026-03-10)
   2.56.178.216       AS33993    UFO Hosting LLC              (seit 2026-03-14)
   95.164.123.237     AS?        Veterano                     (seit 2026-03-10)
   95.164.123.41      AS?        Veterano                     (seit 2026-03-13)
   94.141.123.73      AS213887   WAIcore Ltd                  (seit 2026-03-14)
   176.120.75.250     AS44477    WEISS HOSTING GROUP S.R.L.   (seit 2026-03-10)
   185.179.190.210    AS44094    Webhost LLC                  (seit 2026-03-14)
   93.185.159.160     AS216127   nuxt.cloud hosting provider  (seit 2026-03-14)
   93.123.84.163      AS215439   play2go.cloud - Cheap and reliable hosting (seit 2026-03-13)
   87.120.84.20       AS215439   play2go.cloud - Cheap and reliable hosting (seit 2026-03-14)
   64.188.96.201      AS213877   u1host Amsterdam             (seit 2026-03-10)
   77.239.104.184     AS213877   u1host ltd                   (seit 2026-03-14)
   212.23.196.167     AS63023    xTom GmbH                    (seit 2026-03-10)
   212.23.196.252     AS63023    xTom GmbH                    (seit 2026-03-10)

🔑 ZERTIFIKAT-WECHSEL (16)
   109.172.54.97 | Old CN: DESKTOP-2NFCDE2 → New CN: DESKTOP-2NFCDE2
   87.251.86.83 | Old CN: DESKTOP-2NFCDE2 → New CN: DESKTOP-2NFCDE2
   94.141.122.215 | Old CN: DESKTOP-2NFCDE2 → New CN: DESKTOP-2NFCDE2
   62.133.62.107 | Old CN: DESKTOP-2NFCDE2 → New CN: DESKTOP-2NFCDE2
   45.84.0.191 | Old CN: DESKTOP-2NFCDE2 → New CN: DESKTOP-2NFCDE2
   212.23.196.135 | Old CN: DESKTOP-2NFCDE2 → New CN: DESKTOP-2NFCDE2
   185.107.74.234 | Old CN: DESKTOP-2NFCDE2 → New CN: DESKTOP-2NFCDE2
   147.45.197.238 | Old CN: DESKTOP-TCRDU4C → New CN: DESKTOP-TCRDU4C
   159.69.72.88 | Old CN: DESKTOP-TCRDU4C → New CN: DESKTOP-TCRDU4C
   77.105.161.54 | Old CN: WIN-J9D866ESIJ2 → New CN: WIN-J9D866ESIJ2
   91.227.18.150 | Old CN: WIN-J9D866ESIJ2 → New CN: WIN-J9D866ESIJ2
   5.252.153.70 | Old CN: WIN-J9D866ESIJ2 → New CN: WIN-J9D866ESIJ2
   138.249.138.69 | Old CN: WIN-J9D866ESIJ2 → New CN: WIN-J9D866ESIJ2
   45.12.145.247 | Old CN: WIN-LIVFRVQFMKO → New CN: WIN-LIVFRVQFMKO
   23.230.14.169 | Old CN: WIN-H84GB2JHJIR → New CN: WIN-H84GB2JHJIR
   23.230.14.187 | Old CN: WIN-H84GB2JHJIR → New CN: WIN-H84GB2JHJIR

📡 TOP ASNs (aktive Hosts)
   AS44477    STARK INDUSTRIES SOLUTIONS LTD 392 Hosts  ██████████████████████████████ ⚠️ BPH
   AS215826   Partner Hosting LTD          222 Hosts  ██████████████████████████████
   AS44477    STARK INDUSTRIES SOLUTIONS LTD. 108 Hosts  ██████████████████████████████ ⚠️ BPH
